procedure,query_selector,dataset,seed,elapsed_time,accuracy,query_nbr
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,0,1.4284613132476807,0.9492929292929293,11
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,0,1.4284613132476807,0.9315151515151515,12
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,0,1.4284613132476807,0.9583838383838383,13
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,0,1.4284613132476807,0.9553535353535354,14
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,0,1.4284613132476807,0.9541414141414142,15
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,0,1.4284613132476807,0.9537373737373738,16
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,0,1.4284613132476807,0.963030303030303,17
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,0,1.4284613132476807,0.9626262626262626,18
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,0,1.4284613132476807,0.9593939393939394,19
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9672727272727273,0
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9498989898989899,1
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.962020202020202,2
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9064646464646464,3
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9008080808080808,4
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9030303030303031,5
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9218181818181819,6
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9276767676767677,7
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9197979797979798,8
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9181818181818182,9
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9397979797979797,10
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9515151515151515,11
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.944040404040404,12
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9452525252525252,13
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9628282828282828,14
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9658585858585859,15
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.971919191919192,16
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9802020202020202,17
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9818181818181818,18
SampleBasedProcedure,discrimination_power_based_query,SHA_1and3_quartiles,1,2.806119918823242,0.9824242424242424,19
SampleBasedProcedure,discrimination_power_based_query,TIMES_1and3_quartiles,0,2.815732002258301,0.8028282828282828,0
SampleBasedProcedure,discrimination_power_based_query,TIMES_1and3_quartiles,0,2.815732002258301,0.907070707070707,1
SampleBasedProcedure,discrimination_power_based_query,TIMES_1and3_quartiles,0,2.815732002258301,0.937979797979798,2
