procedure,query_selector,dataset,seed,elapsed_time,accuracy,query_nbr
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9052631578947369,0
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9052631578947369,1
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.8578947368421053,2
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.8526315789473684,3
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9,4
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9,5
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9105263157894737,6
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9157894736842105,7
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9157894736842105,8
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9157894736842105,9
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9157894736842105,10
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9157894736842105,11
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9157894736842105,12
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9157894736842105,13
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9157894736842105,14
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9157894736842105,15
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9157894736842105,16
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9157894736842105,17
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9157894736842105,18
ParticleHandler,discrimination_power_based_query,HDI20_Classic,1,16.921780347824097,0.9157894736842105,19
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.8263157894736842,0
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.8368421052631579,1
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.9315789473684211,2
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.9789473684210527,3
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.9789473684210527,4
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.9789473684210527,5
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.968421052631579,6
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.968421052631579,7
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.968421052631579,8
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.968421052631579,9
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.9631578947368421,10
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.9631578947368421,11
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.9631578947368421,12
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.9631578947368421,13
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.9789473684210527,14
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.9789473684210527,15
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.9789473684210527,16
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.9789473684210527,17
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.9789473684210527,18
ParticleHandler,discrimination_power_based_query,HDI20_Classic,0,23.520195484161377,0.9789473684210527,19
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8733333333333333,0
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8521212121212122,1
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8193939393939393,2
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.7802020202020202,3
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8185858585858586,4
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8216161616161616,5
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8228282828282828,6
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.834949494949495,7
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8371717171717171,8
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8397979797979798,9
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8595959595959596,10
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8555555555555555,11
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8678787878787879,12
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8680808080808081,13
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8672727272727273,14
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8672727272727273,15
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8672727272727273,16
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8672727272727273,17
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8672727272727273,18
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,1,1753.2253267765045,0.8672727272727273,19
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,1893.5243496894836,0.9682828282828283,0
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,1893.5243496894836,0.9648484848484848,1
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,1893.5243496894836,0.9595959595959596,2
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,1893.5243496894836,0.963030303030303,3
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,1893.5243496894836,0.9606060606060606,4
ParticleHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,1893.5243496894836,0.9606060606060606,5
