procedure,query_selector,dataset,seed,elapsed_time,accuracy,query_nbr
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9644444444444444,11
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9642424242424242,12
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.964040404040404,13
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.964040404040404,14
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9644444444444444,15
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9642424242424242,16
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9644444444444444,17
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9644444444444444,18
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9644444444444444,19
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.935959595959596,0
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9426262626262626,1
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.938989898989899,2
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9317171717171717,3
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9341414141414142,4
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9331313131313131,5
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9313131313131313,6
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9319191919191919,7
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9317171717171717,8
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9357575757575758,9
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9357575757575758,10
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.935959595959596,11
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.935959595959596,12
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9357575757575758,13
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9357575757575758,14
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9357575757575758,15
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9357575757575758,16
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9357575757575758,17
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9357575757575758,18
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.9357575757575758,19
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9277272727272727,0
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9225324675324675,1
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9155844155844156,2
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.905974025974026,3
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9173376623376623,4
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9185064935064935,5
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9187662337662338,6
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9188961038961039,7
GeneticPopulationHandler,discrimination_power_based_query,EPI2020_1and3_quartiles,0,902.489289522171,0.9192207792207793,8
